ANO,CO_MES,CO_GEO,CO_PRDT,kt_true,kt_test,kt_test_lr,experiment_id,oc_true,oc_test,oc_proba
26,01~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,02~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,03~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,04~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,05~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,06~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,07~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,08~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,09~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,10~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,11~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
26,12~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,01~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,02~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,03~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,04~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,05~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,06~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,07~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,08~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,09~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,10~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,11~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
27,12~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,01~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,02~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,03~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,04~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,05~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,06~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,07~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,08~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,09~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,10~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
28,11~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,1.0,0.0,0.0
28,12~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,01~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,02~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,03~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,04~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,05~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,06~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,07~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,08~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,09~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
29,10~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,1.0,0.0,0.0
29,11~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0776923076923077
29,12~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
30,01~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
30,02~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
30,03~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
30,04~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,1.0,0.0,0.0
30,05~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
30,06~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,1.0,0.0,0.0
30,07~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,1.0,0.0,0.0
30,08~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,0.0,0.0,0.0
30,09~mes,210200_15~geo,31042090~prdt,,,,7814f68a-aafd-410d-87d4-8e3eb3e09214,1.0,0.0,0.0
